boron_pct,created_alpha,created_Li7,created_gamma,n_captures,efficiency_%,det_alpha,det_Li7,det_gamma,range_alpha_um,range_Li7_um
1,976,976,1616,976,0.9760,50,22,618,314.1012,75.3280
2,1941,1941,3251,1941,1.9410,85,28,1272,242.5655,43.2984
3,2965,2965,5045,2965,2.9650,134,66,1928,258.2808,67.9833
5,4692,4692,7958,4692,4.6920,209,90,3100,258.2722,61.2450
7,6643,6643,11415,6643,6.6430,314,126,4331,257.7480,54.8469
10,9207,9207,15598,9207,9.2070,374,188,5898,233.8144,62.5607
15,13610,13610,23181,13610,13.6100,564,220,8830,237.2857,50.9877
20,17506,17506,29657,17506,17.5060,749,326,11310,235.9665,57.6942
25,21361,21359,36253,21360,21.3600,854,353,13741,216.5766,52.3563
30,24906,24906,42236,24906,24.9060,983,402,16073,226.1969,51.8367
